nome,rede,cidade,estado,lat,lon,telefone,email,website
WK GUINCHOS E SERVICOS LTDA,Bosch,MARACAS,Bahia,-13.4428115,-40.4411935,5527988993298.0,gildevanfontes1977@gmail.com,
J. CAR,Bosch,MURITIBA,Bahia,-12.6187466,-38.9951131,55754242772.0,floriceaon@hotmail.com,
 RV Auto Center Bosch Service,Bosch,SALVADOR,Bahia,-13.0019387,-38.4817819,5571986878008.0,CBAHIA00@GMAIL.COM,
Autocenter Águas Claras,Bosch,SALVADOR,Bahia,-12.8901111,-38.4369482,557132763076.0,adailautocenter3@hotmail.com,https://www.oficinaboschservice.com.br/autocenteraguasclaras
Bosch Car Service Duran,Bosch,SALVADOR,Bahia,-12.9743382,-38.4737495,557121320830.0,recepcao@phdbosch.com.br,
FRANK TONNY,Bosch,SALVADOR,Bahia,-12.9894554,-38.5062303,557132612903.0,autoban@franktonny.com.br,https://www.oficinaboschservice.com.br/franketonny
HP RETIFICA,Bosch,SALVADOR,Bahia,-13.007286,-38.4908645,557133344433.0,hpretifica@terra.com.br,
Motor Flex Centro Automotivo,Bosch,SALVADOR,Bahia,-12.9320042,-38.4576675,557133064477.0,motorflex.centroautomotivo@hotmail.com,
OFICINA SANTA RITA,Bosch,SALVADOR,Bahia,-12.9710682,-38.4590467,557134605670.0,oficina10_santarita@yahoo.com.br,https://www.oficinaboschservice.com.br/oficinasantarita
Torque Motor Centro Automotivo,Bosch,SALVADOR,Bahia,-12.911578,-38.349866,557133770432.0,torquemotor@terra.com.br,
S E R COMERCIO DE PECAS E SERVICOS AUTOM,Bosch,SALVADOR,Bahia,-12.9575794,-38.4543532,557187483937.0,servicomcontabeis@gmail.com,
CONTROL FLEET TRANSPORTES LTDA,Bosch,SANTO AMARO,Bahia,-12.55385,-38.76411,,geop@controlfleet-ba.com.br,
IVAN AUTO PECAS,Bosch,SERRINHA,Bahia,-11.662667,-39.001161,557532612219.0,ivanbosch@live.com,https://www.oficinaboschservice.com.br/ivanautopecas
VARGA SERVICOS,Bosch,SÃO PAULO,Bahia,-11.4098737,-41.2808577,5511996179839.0,vsspcb@uol.com.br,
CAR SERVICE,Bosch,VALENÇA,Bahia,-13.3680638,-39.0695551,55557736411260.0,oficinaecco@yahoo.com.br,https://www.oficinaboschservice.com.br/eccoautopecaseservicos
WILLYS FASS AUTO PECAS,Bosch,VALENÇA,Bahia,-13.2873645,-38.9659341,55756417590.0,willysfass@yahoo.com.br,https://www.oficinaboschservice.com.br/willysautopecas
RF Car Center - Bosch Service,Bosch,VERA CRUZ,Bahia,-13.03194639455814,-38.6693523351675,5571982707189.0,Centro.automotivorf@outlook.com,
BOCAUTO OFICINA MECANICA,Bosch,VITÓRIA DA CONQUISTA,Bahia,-14.8436432,-40.8461548,557734232115.0,bocauto@hotmail.com,https://www.oficinaboschservice.com.br/bocauto
Flyfast | Oficina Mecânica,Bosch,FORTALEZA,Ceará,-3.8093902,-38.5559878,5585987655366.0,tarso.bessa@ig.com.br,
O DAMIAO,Bosch,FORTALEZA,Ceará,-3.7279946,-38.5420904,558532813464.0,financeiroofdamiao@gmail.com,
Rocha Auto Center - Oficina Mecânica Autorizada,Bosch,FORTALEZA,Ceará,-3.7501209,-38.5232342,558538797284.0,rocha_autocenter@hotmail.com,
REVISAO DE AUTOS LTDA EPP,Bosch,FORTALEZA,Ceará,-3.7870631,-38.5036819,558532797200.0,albertoscentroautomotivo@hotmail.com,
PREVCAR,Bosch,ICÓ,Ceará,-6.4048733,-38.8786943,5588998333235.0,janiracont@hotmail.com,
AutoShop Sobral,Bosch,SOBRAL,Ceará,-3.6913344,-40.3651207,5588999488000.0,autoshopsobral@gmail.com,https://www.oficinaboschservice.com.br/autoshopsobral
SóAutos Sobral,Bosch,SOBRAL,Ceará,-3.691871,-40.3710432,558836114979.0,retificansfatima@hotmail.com,https://www.oficinaboschservice.com.br/soautossobral
AUTO PECAS E MECANICA O ZE MARIA,Bosch,TIANGUÁ,Ceará,-3.7265665,-40.9963908,558836711494.0,pecaszemaria@yahoo.com.br,https://www.oficinaboschservice.com.br/zemariaautopecasmecanicaereboque24horas
1M MOTORS COMERCIO E SERVICOS,Bosch,BRASILIA,Distrito Federal,-15.8186347,-47.9575963,5561981542543.0,contato@1mmotors.com.br,
100% SERVICOS AUTOMOTIVOS,Bosch,BRASÍLIA,Distrito Federal,-15.8104761,-47.9036678,556134438324.0,oficinacemporcento@yahoo.com.br,https://www.oficinaboschservice.com.br/100porcentoservicosautomotivos
ALEX INJECTION,Bosch,BRASÍLIA,Distrito Federal,-15.8076611,-48.0829482,556133541445.0,alexinjection74@gmail.com,https://www.oficinaboschservice.com.br/alexinjectionautocenterinjecaoeletronicaecarburadores
Assisinjet - Assis Carburadores - Bosch Car Service,Bosch,BRASÍLIA,Distrito Federal,-15.8070889,-48.0853207,556133545151.0,contato@assisinjet.com.br,
Fênix Centro Automotivo,Bosch,BRASÍLIA,Distrito Federal,-15.7857989,-47.9858582,556130474709.0,dyego.costa@fenixcentroautomotivo.com,
JM Auto Centro,Bosch,BRASÍLIA,Distrito Federal,-15.8277665,-47.9249053,556132456234345.0,bcs@jmautocentro.com.br,
PrevinAuto,Bosch,BRASÍLIA,Distrito Federal,-15.7975154,-47.89188739999999,556130820006.0,previnauto@gmail.com,
SAMO CENTRO AUTOMOTIVO LTDA,Bosch,BRASÍLIA,Distrito Federal,-15.8026332,-48.06570430000001,556135365535.0,admbonopneus.taguatinganorte@gmail.com,
DOIS IRMAOS,Bosch,ARACRUZ,Espírito Santo,-19.8270798,-40.272464,552732561463.0,contato@bcsdoisirmaos.com.br,
ARAUJO AUTO PECAS,Bosch,BARRA DE SÃO FRANCISCO,Espírito Santo,-18.7482,-40.89105,552737567953.0,onivaldo@grupolorenzoni.com.br,
JR CAR AUTO PECAS E SERVICOS,Bosch,BOA ESPERANÇA,Espírito Santo,-18.5467165,-40.28924,552737681466.0,flaviaszanon@hotmail.com,
MECANICA COCO,Bosch,BREJETUBA,Espírito Santo,-20.149507,-41.2922431,552737331209.0,mecanicacocobosch@gmail.com,
MECANICA BAMBUFIN,Bosch,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,-20.8416568,-41.1101363,552835228525.0,mecanica_bambufin@hotmail.com,
MF AUTO CENTER LTDA,Bosch,CAMPINAS,Espírito Santo,-22.85603275510742,-47.15225638465638,551932824551.0,contato@mfautocenter.com.br,
Injetrônica Regulagens,Bosch,CARIACICA,Espírito Santo,-19.9734783,-49.0040149,552732262099.0,injetronica2-es@hotmail.com,https://www.oficinaboschservice.com.br/injetronicaregulagens
 Route 66,Bosch,COLATINA,Espírito Santo,-19.5225808,-40.6321389,552737221300.0,ROUTE66CENTROAUTOMOTIVO@HOTMAIL.COM,
BALARINI,Bosch,COLATINA,Espírito Santo,-19.5203194,-40.6390261,552737213889.0,bel@balarini.com.br,
PNEUMAX LTDA,Bosch,COLATINA,Espírito Santo,-19.5191888503,-40.6399412594,5527999872705.0,jadsongalon@gmail.com,
GARAGEM 4X4 MECANICA E AUTO PECAS LTDA,Bosch,COLATINA,Espírito Santo,-19.5087444,-40.611468,,GARAGEM4X4COLATINA@GMAIL.COM,
AUTO PECAS 3 IRMAOS,Bosch,GUARAPARI,Espírito Santo,-20.62702,-40.47472,552733624555.0,autopecas3irmaos@hotmail.com,https://www.oficinaboschservice.com.br/3irmaosautopecaseservicosguaraparies
M.N. MANUTENCAO E REPARACAO,Bosch,GUARAPARI,Espírito Santo,-20.5314212,-40.3815061,552733624163.0,mam.mecanica@hotmail.com,
SINOCA AUTO PECAS LTDA,Bosch,JOÃO NEIVA,Espírito Santo,-19.7484166,-40.382024,552732581587.0,sinocaautopecas@gmail.com,
ESW PECAS & MECANICA LTDA,Bosch,JUNDIÁ,Espírito Santo,-18.4184549,-40.2107903,5527997699056.0,autosocorrobayer@hotmail.com,
AUTO CAR CENTER AUTOMOTIVO LTDA,Bosch,MANTENOPOLIS,Espírito Santo,-18.8601917,-41.1183289,,AUTOCAR66@HOTMAIL.COM,
MANOS AUTOMECANICA,Bosch,MARECHAL FLORIANO,Espírito Santo,-20.4121291,-40.6757342,552732882345.0,manos@manosonline.com.br,
HELL AUTO CENTER,Bosch,SANTA MARIA DE JETIBÁ,Espírito Santo,-20.0323399,-40.7406795,552732630082.0,hellautocenter@hotmail.com,
CENTRO AUTOMOTIVOA AUTOSALES,Bosch,SERRA,Espírito Santo,-20.2279718,-40.27144029999999,552737291187.0,controladoria@autosales.com.br,https://www.oficinaboschservice.com.br/centroautomotivoautosales
CONTAUTO,Bosch,SERRA,Espírito Santo,-20.1077496,-40.3509107,552733982955.0,weberton.silva@contauto.com.br,
ZAMPERLINI,Bosch,SERRA,Espírito Santo,-20.2146328,-40.268686,552721048999.0,robson@zamperliniltda.com,
Lorenzoni Autocenter - Revenda Michelin e BF Goodrich,Bosch,SÃO GABRIEL DA PALHA,Espírito Santo,-19.0210277,-40.5327284,552737271457.0,onivaldo@grupolorenzoni.com.br,https://www.oficinaboschservice.com.br/lorenzoniautocenter
Auto Elétrica Linhares,Bosch,SÃO MATEUS,Espírito Santo,-18.7192446,-39.8407588,552733129050.0,autopacre.boschcarservice@hotmail.com,
T. GOBBI,Bosch,VARGEM ALTA,Espírito Santo,-20.674198,-41.0130294,552835281036.0,t.gobbi01@gmail.com,
VECAR AUTOCENTER,Bosch,VENDA NOVA DO IMIGRANTE,Espírito Santo,-20.3264491,-41.1350433,5528999952256.0,vecarpneus@yahoo.com.br,
 Auto Center Ebenézer,Bosch,VIANA,Espírito Santo,-20.3412206,-40.422524,5527981198017.0,oficinamaster027@gmail.com,
INJECTION BASSINI,Bosch,VILA VELHA,Espírito Santo,-20.35395396853044,-40.345455244179,552732267958.0,injectionbassini@bol.com.br,
JORGE ABREU,Bosch,VILA VELHA,Espírito Santo,-20.35213,-40.31947,552733398600.0,amjabreu.vix@terra.com.br,
SOTECO GLOBAL DISTRIBUIDORA LTDA,Bosch,VILA VELHA,Espírito Santo,-20.3593894750674,-40.30871070668376,5527998677736.0,financeiro@redesoteco.com.br,
OFICINA SME,Bosch,VITÓRIA,Espírito Santo,-20.3090552,-40.3133892,552732226166.0,administrativo@oficinasme.com.br,
WELCAR CENTRO AUTOMOTIVO,Bosch,VITÓRIA,Espírito Santo,-20.2577185,-40.2976442,552730240452.0,adm@welcaracessorios.com.br,https://www.oficinaboschservice.com.br/welcarcentroautomotivo
MECANICA PIMENTEL,Bosch,ALVORADA DO NORTE,Goiás,-14.4828534,-46.4969546,556234211665.0,bosch@automecanicapimentel.com.br,https://www.oficinaboschservice.com.br/automecanicapimentel
CENTRO AUTOMOTIVO GIOVANNI,Bosch,ANAPOLIS,Goiás,-16.3447075,-48.9355351,556233142293.0,centroautomg@outlook.com,
CENTRO AUTOMOTIVO NOVA ALIANCA(OAC),Bosch,ANÁPOLIS,Goiás,-16.3322415,-48.9624089,556230994040.0,MEC.ALIANCA@HOTMAIL.COM,
ITACAR,Bosch,ANÁPOLIS,Goiás,-16.3162965,-48.9592911,556230994222.0,itacarcentroautomotivo2@hotmail.com,https://www.oficinaboschservice.com.br/itacarcentroautomotivo
ROD'CAR LTDA,Bosch,APARECIDA DE GOIANIA,Goiás,-16.7823665,-49.2676436,556232110393.0,centroautomotivorodcar2@gmail.com,
Centro Automotivo Stock Car,Bosch,CAIAPÔNIA,Goiás,-16.9598674,-51.8163765,556436632822.0,alvesgarciasilveira@hotmail.com,https://www.oficinaboschservice.com.br/centroautomotivostockcar
3A CENTRO AUTOMOTIVO LTDA,Bosch,CERES,Goiás,-15.30632,-49.59464,556222010030.0,3acentroautomotivoo@gmail.com,
Confiança Bosch Service,Bosch,CORUMBÁ DE GOIÁS,Goiás,-15.928058,-48.805713,5562998584539.0,centroautomotivoconfianca_crb@hotmail.com,
AUTO PECAS SATURNO,Bosch,Catalão,Goiás,-18.1685755,-47.9425586,5.5643441312834404e+19,abadiofreire@ig.com.br,
AUTO FIX REPARAÇÃO AUTOMOTIVA,Bosch,GOIANIA,Goiás,-16.6810935,-49.3061085,556235761060.0,denisastor@hotmail.com,
BOSCH CAR SERVICE,Bosch,GOIANIA,Goiás,-16.6207868,-49.2895331,5562992733000.0,orcamentos.fac@gmail.com,
Bosch Car Service - Águia Auto Center,Bosch,GOIANIA,Goiás,-16.622818441,-49.217695983,5562982337553.0,comercial@aguiapneus.com,
Menno Car Service,Bosch,GOIANIA,Goiás,-16.6713393,-49.274809314,55556232124111.0,recepcao@mennocarservice.com.br,
WANCAR CENTRO AUTOMOTIVO,Bosch,GOIANIA,Goiás,-16.6832076,-49.2882375,556232330220.0,wancarcentroautomotivo@gmail.com,
 Izaias Auto Car,Bosch,GOIÂNIA,Goiás,-16.6658555,-49.2464904,556235956153.0,izaiasautocar@hotmail.com,https://www.oficinaboschservice.com.br/izaiasautocar
ABC CENTRO AUTOMOTIVO,Bosch,GOIÂNIA,Goiás,-16.606723,-49.2401997,556236382030.0,abccentroautomotivo@yahoo.com.br,
AUTO ELÉTRICA BANDEIRANTES,Bosch,GOIÂNIA,Goiás,-16.6710319,-49.2309755,556232614815.0,autoeletricabandeirantes@gmail.com,https://www.oficinaboschservice.com.br/autoeletricabandeirantes
AUTO MECANICA UNIAO,Bosch,GOIÂNIA,Goiás,-16.6666198,-49.2713658,556232246906.0,pedrojr@mecanicauniao.net.br,
CENTRO AUTOMOTIVO SANTANA,Bosch,GOIÂNIA,Goiás,-16.6569055,-49.3173233,556239227720.0,SALELETRICA@GMAIL.COM,https://www.oficinaboschservice.com.br/centroautomotivosantana
ELI AUTO MECANICA,Bosch,GOIÂNIA,Goiás,-16.6823733,-49.2825914,556232330769.0,mecanicaeliauto@yahoo.com.br,https://www.oficinaboschservice.com.br/mecanicaeliauto
Auto Center Peças e Serviços,Bosch,INHUMAS,Goiás,-16.370922,-49.4930508,556235141794.0,kleber@autocenterps.com.br,
MEVIL,Bosch,IPORÁ,Goiás,-16.3846284,-51.2213044,556436031283.0,leaoelima@hotmail.com,https://www.oficinaboschservice.com.br/mevil
ITACAR CENTRO AUTOMOTIVO,Bosch,ITAPURANGA,Goiás,-15.5578788,-49.9415964,556233121085.0,itacar193@gmail.com,
MIGUEL AUTOCAR,Bosch,ITUMBIARA,Goiás,-18.4099862,-49.2094967,556434310081.0,miguelautocar@hotmail.com,https://www.oficinaboschservice.com.br/miguelautocar
MATHEUS RUFFING FRANCA LTDA,Bosch,JATAI,Goiás,-17.8955494,-51.73476203,5564999913985.0,autoeletricaglobojti@gmail.com,
J R PECAS E SERVIÇOS LTDA,Bosch,JUSSARA,Goiás,-15.876462,-50.8671899,556233731288.0,jr.rubens-@gmail.com,https://www.oficinaboschservice.com.br/jrpecaseservicos
NOVA,Bosch,Jataí,Goiás,-17.9002365,-51.7247631,556436326171.0,lauraafferreira@hotmail.com,
Auto Center Luziânia,Bosch,LUZIÂNIA,Goiás,-15.8935681,-47.8002748,556136212128.0,autocenterluziania@gmail.com,
AUTO CENTER MAMBAI,Bosch,MAMBAÍ,Goiás,-14.4986424,-46.1076336,556234841446.0,autocentermambai@gmail.com,https://www.oficinaboschservice.com.br/autocentermambai
REAL AUTO PECAS E MECANICA,Bosch,Mineiros,Goiás,-17.5724484,-52.5679318,556436614299.0,osmargdsousa@gmail.com,
AUTO PECAS UNIVERSO,Bosch,Nova Crixás,Goiás,-14.1038363,-50.3400367,556233853277.0,apuniverso@hotmail.com,
EXATA,Bosch,POSSE,Goiás,-14.0925935,-46.3607284,556234811689.0,exataautocenter@hotmail.com,
RIVECAR AUTO CENTER LTDA,Bosch,RÍO VERDE,Goiás,-17.7982494,-50.9487386,556436225229.0,rivecar.gerenciarv@gmail.com,https://www.oficinaboschservice.com.br/rivecarautocenter
J T SILVA DISTRIBUIDORA DE PECAS LTDA,Bosch,SANTA FE DE GOIAS,Goiás,-15.769184,-51.104086,5562985113222.0,tiotonio@hotmail.com,
UNIPECAS,Bosch,SANTA HELENA DE GOIÁS,Goiás,-17.8119325,-50.6001774,556436412521.0,unipecas.automotivo@globo.com,https://www.oficinaboschservice.com.br/unipecas
POOL AUTO CENTER,Bosch,SENADOR CANEDO,Goiás,-16.6939352,-49.10929609999999,,christian231708@gmail.com,
PONTO CERTO,Bosch,TRINDADE,Goiás,-16.6452228,-49.423616,556235052049.0,REGULADORA.CERTO@HOTMAIL.COM,https://www.oficinaboschservice.com.br/pontocerto
RD AUTO CENTER LTDA,Bosch,URUACU,Goiás,-14.5341532,-49.1516481,5562998543030.0,rduruacu@gmail.com,
ELETROCAR,Bosch,BALSAS,Maranhão,-7.5190716,-46.03602189999999,559935413273.0,eletrocar.bosch@bol.com.br,
OFICINA CLINICAR,Bosch,GRAJAU,Maranhão,-5.8240003,-46.1556298,559981183225.0,irismoraes.10@hotmail.com,
Carlin Auto Mecânica e Peças,Bosch,IMPERATRIZ,Maranhão,-5.4958188,-47.4471116,559930144620.0,financeiro.carlinautomecanica@gmail.com,
T&C Auto Center,Bosch,ITAPECURU MIRIM,Maranhão,-3.4029502,-44.3548301,551921032127.0,jrs.bosch@gmail.com,https://www.oficinaboschservice.com.br/tecautocenter
Bavel Auto Center - PitStop,Bosch,PINHEIRO,Maranhão,-2.5208476,-45.0797552,559833811197.0,financeiro@bavelautocenter.com.br,
GIROS CAR,Bosch,SÃO LUÍS,Maranhão,-2.5717736,-44.2255502,559831813920.0,flaviorenar@gmail.com,https://www.oficinaboschservice.com.br/giroscarautocenter
MS CAR,Bosch,SÃO LUÍS,Maranhão,-2.5354728,-44.2232432,559832517635.0,operacional@mscaroficina.com,https://www.oficinaboschservice.com.br/mscarpecaseservicosautomotivos
PLAYCAR,Bosch,SÃO LUÍS,Maranhão,-2.5413433,-44.21825279999999,559831319100.0,playcar90@gmail.com,https://www.oficinaboschservice.com.br/playcar
TIRIRICAL AUTO PECAS,Bosch,SÃO LUÍS,Maranhão,-2.5390911,-44.28278479999999,559832256595.0,tirirical@tirirical.com.br,https://www.oficinaboschservice.com.br/tiriricalautopecas
J REINALDO CAR SERVICE,Bosch,VIANA,Maranhão,-3.2073623,-45.0036846,5598996214105.0,j.reynaldocarservice@hotmail.com,
MULTIKING MODULOS E IMOBILIZADOS,Bosch,AGUA BOA,Mato Grosso,-14.0410139,-52.163377,556692322386.0,tecnocarmodulosab@gmail.com,
RODCAR SERVICOS E PECAS AUTOMOTIVAS,Bosch,ALTA FLORESTA,Mato Grosso,-9.843221,-56.072113,556635216621.0,ozires@rodcarservice.com.br,https://www.oficinaboschservice.com.br/rodcarcamionetecar
CORREIA PNEUS AUTO CENTER,Bosch,ARENÁPOLIS,Mato Grosso,-14.4635105,-56.8451009,556533431119.0,valdecircorreia@uol.com.br,https://www.oficinaboschservice.com.br/correiapneusautopecas
MS Centro Automotivo,Bosch,BRASNORTE,Mato Grosso,-12.6451982,-57.825395,5566996684027.0,marceloautopecas.financeiro@hotmail.com,
Araújo Auto Center,Bosch,CAMPO NOVO DO PARECIS,Mato Grosso,-13.6462726,-57.8966524,556533825500.0,compras@araujoautocenter.com,https://www.oficinaboschservice.com.br/araujoautocenter
AUTO ELÉTRICA CAMPO VERDE,Bosch,CAMPO VERDE,Mato Grosso,-15.5568006,-55.1719845,556634191732.0,autoeletricacv@outlook.com.br,https://www.oficinaboschservice.com.br/autoeletricacampoverde
UNIAO CENTER CAR,Bosch,CAMPO VERDE,Mato Grosso,-15.54583,-55.156844,556634193465.0,administracao@uniaocentercar.com.br,https://www.oficinaboschservice.com.br/uniaocentercar
EMEU ELETRO MECANICA UNIAO,Bosch,CANARANA,Mato Grosso,-13.5521577,-52.26706850000001,556634781520.0,emeu_autopecas@hotmail.com,https://www.oficinaboschservice.com.br/emeueletromecanicauniao
UNIAO CENTER CAR CENTRO AUTOMOTIVO LTDA,Bosch,CANARANA,Mato Grosso,-13.5669428,-52.2665803,5566996291069.0,administracao@uniaocentercar.com.br,
MECANICA DKR,Bosch,CONFRESA,Mato Grosso,-10.6585044,-51.5713683,556696942937.0,Boschconfresa@hotmail.com,
AUTO PECAS E SERVICOS ZANATA,Bosch,CUIABA,Mato Grosso,-15.5833453,-56.091548,556536214956.0,mariana@zanataautocenter.com,https://www.oficinaboschservice.com.br/autocenterzanata
Elittecar Grupo,Bosch,CUIABA,Mato Grosso,-15.6045017,-56.106489,5565996362220.0,ELEITECARCENTROAUTOMOTIVO@GMAIL.COM,
ARNAUT CAR CENTRO AUTOMOTIVO LTDA,Bosch,CUIABA,Mato Grosso,-15.5862103,-56.06138120000001,556593382705.0,ARNAUTCAR.AUTOMOTIVO@GMAIL.COM,
MULTI POINT AUTO CENTER,Bosch,CUIABÁ,Mato Grosso,-15.6075931,-56.0862527,556536240805.0,multipoint_autocenter@hotmail.com,
REDE ORIGINAL AUTO CENTER JOBSON,Bosch,CUIABÁ,Mato Grosso,-15.5990012,-56.0889689,556530543020.0,financeirooriginal0@gmail.com,https://www.oficinaboschservice.com.br/originalautocenterjobson
SANTIAGO AUTO CENTER,Bosch,CUIABÁ,Mato Grosso,-15.6634917,-56.0416564,556533598920.0,santiagocentroautomotivo@gmail.com,
Stop Car,Bosch,CUIABÁ,Mato Grosso,-15.6609335,-55.9942401,556536675256.0,stopcar.cuiaba@hotmail.com,
Joa Car Center,Bosch,CÁCERES,Mato Grosso,-16.0776758,-57.69088709999999,556532233068.0,JOACARCENTER@GMAIL.COM,http://www.maristacaceres.com.br/
 Marchesan Centro Automotivo,Bosch,GUARANTA DO NORTE,Mato Grosso,-9.96074,-54.9043412,556635923066.0,autoeletrica_marchesan@hotmail.com,https://www.oficinaboschservice.com.br/marchesancentroautomotivo
AUTO ELETRICA JAVALI,Bosch,JUARA,Mato Grosso,-11.2535467,-57.50879669999999,556635564857.0,javaliautoeletrica@hotmail.com,
M S CENTRO AUTOMOTIVO,Bosch,JUINA,Mato Grosso,-11.427694,-58.76135170000001,556635662769.0,msautoar.fiscal@gmail.com,
PADOVAN BOSCH SERVICE,Bosch,JUÍNA,Mato Grosso,-11.4181139,-58.746596,556635662380.0,padovanjuinamt@gmail.com,https://www.oficinaboschservice.com.br/padovan
DOMINGOS AUTO CENTER LTDA,Bosch,LUCAS DO RIO VERDE,Mato Grosso,-13.073599,-55.930595,5565996338395.0,domingosautocenterlrv@gmail.com,
DOMINGOS AUTO CENTER LTDA,Bosch,LUCAS DO RIO VERDE,Mato Grosso,-13.0686722,-55.9388421,5565992997983.0,domingosautocenterlrv@gmail.com,
J.A Auto Center e Guinchos,Bosch,MARCELÂNDIA,Mato Grosso,-11.0892752,-54.5164974,556635362430.0,andre-j.a@hotmail.com,https://www.oficinaboschservice.com.br/jaautocentereguinchos
AJAX AUTO CENTER LTDA,Bosch,NOBRES,Mato Grosso,-14.717909,-56.335475,556599404050.0,ajax_autocenter@hotmail.com,
MECANICA BETAO,Bosch,NOVA MUTUM,Mato Grosso,-13.8290807,-56.0812541,556533081561.0,financeirobetao@gmail.com,https://www.oficinaboschservice.com.br/mecanicabetao
BR AUTO CENTER,Bosch,PEIXOTO DE AZEVEDO,Mato Grosso,-10.2558197,-54.99869529999999,556635751551.0,helfer@terra.com.br,
AUTO MECÂNICA PRIMOS LTDA,Bosch,PRIMAVERA DO LESTE,Mato Grosso,-15.52494,-54.32197,,automecanicaprimospva@gmail.com,
UNIAUTO LTDA,Bosch,PRIMAVERA DO LESTE,Mato Grosso,-15.56539767,-54.3034238,,CONTADOR@AMPLACONTABIL.COM.BR,
J.A PNEUS,Bosch,QUERÊNCIA,Mato Grosso,-12.5989586,-52.2073995,556635292165.0,transparente.eurico@gmail.com,https://www.oficinaboschservice.com.br/nacarcentroautomotivo
Oficina Mecânica Cristiane,Bosch,SAPEZAL,Mato Grosso,-13.5422858,-58.8164501,556533833620.0,financeiro@cristianeautocenter.com.br,
